YEAR,SITE,TRANSECT,summer.kelp,prev.kelp,reef.cover,spring.kelp,wave,richness,linkdensity
2000,BULL,1,16,NA,65,552,NA,32,1.53125
2000,BULL,2,69,NA,79,NA,NA,34,1.264705882
2000,BULL,3,178,NA,73,521,NA,25,0.52
2000,BULL,4,0,NA,66,NA,NA,22,0.863636364
2000,BULL,5,4,NA,49,NA,NA,21,0.952380952
2000,BULL,6,72,NA,77,366,NA,24,0.375
2000,BULL,7,85,NA,44,NA,NA,28,1.285714286
2000,BULL,8,30,NA,62,NA,NA,20,0.9
2000,CARP,1,421,NA,80,0,NA,24,1.333333333
2000,CARP,2,34,NA,80,1122,NA,18,1.166666667
2000,CARP,3,0,NA,80,0,NA,15,1.133333333
2000,CARP,4,0,NA,80,0,NA,19,0.736842105
2000,CARP,5,0,NA,80,627,NA,13,1.230769231
2000,CARP,6,0,NA,80,0,NA,18,1.166666667
2000,CARP,7,0,NA,75,0,NA,17,1
2000,CARP,8,0,NA,80,0,NA,16,1.1875
2000,NAPL,1,0,NA,80,0,NA,29,0.896551724
2000,NAPL,2,0,NA,80,0,NA,32,0.78125
2000,NAPL,3,0,NA,80,0,NA,27,1.185185185
2000,NAPL,4,0,NA,79,0,NA,13,1.153846154
2000,NAPL,5,0,NA,80,0,NA,32,1.375
2000,NAPL,6,36,NA,80,0,NA,29,0.862068966
2000,NAPL,7,0,NA,80,0,NA,30,1.266666667
2000,NAPL,8,0,NA,80,0,NA,31,1.225806452
2001,ABUR,1,1110,NA,30,1255.5,NA,28,0.607142857
2001,ABUR,2,0,NA,55,1551.5,NA,27,0.814814815
2001,AHND,1,2,NA,48,NA,1.301752539,29,0.137931034
2001,AHND,2,97,NA,41,0,1.31903244,29,0.620689655
2001,AQUE,1,207,NA,75,0,1.308957962,30,0.566666667
2001,AQUE,2,98,NA,77,0,1.308957962,43,1.930232558
2001,AQUE,3,41,NA,23,0,1.382503715,34,1.617647059
2001,AQUE,4,147,NA,52,541,1.3385433,33,1.333333333
2001,AQUE,5,0,NA,79,751,1.3385433,34,1.764705882
2001,BULL,1,6,16,77,0,1.475117738,28,1.392857143
2001,BULL,3,24,178,77,0,1.475117738,30,1.033333333
2001,BULL,6,0,72,62,0,1.475117738,19,1.210526316
2001,CARP,1,314,421,80,0,NA,31,1.580645161
2001,CARP,2,0,34,80,0,NA,18,0.944444444
2001,CARP,3,0,0,80,0,NA,22,1.272727273
2001,CARP,4,0,0,78,0,NA,17,1.058823529
2001,CARP,5,0,0,80,0,NA,24,1.541666667
2001,CARP,6,0,0,69,0,NA,23,1.695652174
2001,CARP,7,0,0,80,0,NA,20,0.95
2001,CARP,8,0,0,80,0,NA,22,1.272727273
2001,GOLB,1,891,NA,37,6207.5,NA,30,1.133333333
2001,GOLB,2,495,NA,57,7656,NA,26,1
2001,IVEE,1,109,NA,80,15353.5,NA,28,1.321428571
2001,IVEE,2,190,NA,80,21839.5,NA,27,1.259259259
2001,MOHK,1,1024,NA,79,6721.5,NA,46,1.369565217
2001,MOHK,2,602,NA,77,7404.5,NA,33,1.121212121
2001,NAPL,1,0,0,80,0,NA,37,1.054054054
2001,NAPL,2,0,0,80,0,NA,36,0.861111111
2001,NAPL,3,0,0,80,0,NA,31,0.967741935
2001,NAPL,4,0,0,79,0,NA,28,1.285714286
2001,NAPL,5,2,0,80,0,NA,32,1.21875
2001,NAPL,6,0,36,80,0,NA,36,1.333333333
2001,NAPL,7,0,0,80,0,NA,33,1.303030303
2001,NAPL,8,0,0,80,0,NA,44,1.386363636
2002,ABUR,1,681,1110,11,256.5,0.643917912,21,0.80952381
2002,ABUR,2,31,0,10,256.5,NA,19,0.368421053
2002,AHND,1,0,2,2,NA,0.896745071,7,0
2002,AHND,2,350,97,67,6562.5,0.91542726,33,0.96969697
2002,AQUE,1,1048,207,80,38865,0.87779556,24,0.916666667
2002,AQUE,2,731,98,58,31598,0.87779556,35,1.314285714
2002,AQUE,3,1394,41,66,4193.5,0.934394441,21,0.952380952
2002,AQUE,4,493,147,62,7637,0.894577184,37,1.432432432
2002,AQUE,5,794,0,76,4630.5,0.894577184,34,1.205882353
2002,AQUE,6,734,NA,64,21216.5,0.896745071,21,0.619047619
2002,BULL,1,315,6,77,2918,1.214712773,38,1.447368421
2002,BULL,3,201,24,72,2837,1.214712773,22,0.636363636
2002,BULL,6,50,0,68,2450,1.214712773,28,0.107142857
2002,CARP,1,1398,314,80,0,0.579324553,30,1.366666667
2002,CARP,2,0,0,80,0,0.579324553,27,1.407407407
2002,CARP,3,0,0,80,0,0.579324553,26,1.192307692
2002,CARP,4,0,0,80,0,0.579324553,22,0.727272727
2002,CARP,5,0,0,80,0,0.548436944,23,1.434782609
2002,CARP,6,0,0,78,0,0.579324553,22,1.136363636
2002,CARP,7,12,0,80,0,0.579324553,28,1.464285714
2002,CARP,8,0,0,80,0,0.548436944,17,0.705882353
2002,GOLB,1,573,891,44,7609,0.406128833,28,0.928571429
2002,GOLB,2,921,495,44,9848,0.406128833,30,1.1
2002,IVEE,1,237,109,80,22588.5,0.63538822,23,1.130434783
2002,IVEE,2,95,190,80,24492,0.63538822,16,1.1875
2002,MOHK,1,315,1024,80,19324.5,NA,52,2.019230769
2002,MOHK,2,1457,602,80,18894.5,NA,40,1.225
2002,NAPL,1,48,0,80,0,0.691240992,40,1.175
2002,NAPL,2,69,0,80,0,0.658310633,54,1.462962963
2002,NAPL,3,6,0,80,0,0.658310633,40,1.45
2002,NAPL,4,0,0,80,0,0.658310633,37,1.432432432
2002,NAPL,5,54,2,80,0,0.658310633,46,1.608695652
2002,NAPL,6,0,0,76,0,0.658310633,36,1.166666667
2002,NAPL,7,69,0,80,0,0.658310633,50,1.6
2002,NAPL,8,8,0,77,0,0.658310633,57,1.49122807
2003,ABUR,1,48,681,0,0,0.912320283,22,0.454545455
2003,ABUR,2,0,31,0,0,NA,13,0.230769231
2003,AHND,1,0,0,0,NA,1.183205302,5,0
2003,AHND,2,249,350,57,0,1.208114888,27,1.407407407
2003,AQUE,1,1201,1048,80,17397.66667,1.093968735,41,1.463414634
2003,AQUE,2,1194,731,69,11813.66667,1.093968735,29,0.448275862
2003,AQUE,3,1040,1394,52,11258.33333,1.158203686,24,0.75
2003,AQUE,4,537,493,55,17754,1.108239305,37,1.513513514
2003,AQUE,5,807,794,80,21316,1.108239305,25,0.84
2003,AQUE,6,1011,734,73,17770.33333,1.117433596,21,0.666666667
2003,BULL,1,645,315,71,9370.333333,1.301786109,34,0.823529412
2003,BULL,3,250,201,80,11495,1.301786109,25,0.92
2003,BULL,6,731,50,78,13834,1.301786109,23,0.565217391
2003,CARP,1,1003,1398,80,0,0.966834253,33,1.272727273
2003,CARP,2,4,0,80,0,0.966834253,24,1.125
2003,CARP,3,232,0,80,0,0.966834253,33,1.787878788
2003,CARP,4,0,0,80,0,0.966834253,29,1.344827586
2003,CARP,5,0,0,80,0,0.87894023,24,1.583333333
2003,CARP,6,99,0,80,0,0.966834253,28,1.392857143
2003,CARP,7,48,12,79,0,0.966834253,33,1.515151515
2003,CARP,8,0,0,80,0,0.87894023,19,1
2003,GOLB,1,733,573,55,2167,0.918313023,27,1.333333333
2003,GOLB,2,1080,921,39,2829.666667,0.918313023,27,0.666666667
2003,IVEE,1,89,237,17,6887.333333,1.083897552,24,0.791666667
2003,IVEE,2,218,95,24,8342.333333,1.083897552,20,0.95
2003,MOHK,1,810,315,80,2736,NA,53,1.20754717
2003,MOHK,2,1554,1457,78,2799.666667,NA,41,0.682926829
2003,NAPL,1,714,48,80,3044.666667,1.166042492,36,1.25
2003,NAPL,2,1050,69,80,4618,1.061991681,39,1.128205128
2003,NAPL,3,364,6,80,576.5,1.061991681,36,1.25
2003,NAPL,4,400,0,80,576.5,1.061991681,27,0.62962963
2003,NAPL,5,950,54,80,258.5,1.061991681,43,0.88372093
2003,NAPL,6,269,0,78,258.5,1.061991681,44,1.568181818
2003,NAPL,7,549,69,80,258.5,1.061991681,32,0.6875
2003,NAPL,8,269,8,79,258.5,1.061991681,44,1.318181818
2004,ABUR,1,68,48,18,0,0.772851218,23,0.47826087
2004,ABUR,2,0,0,0,0,NA,9,0.111111111
2004,AHND,1,0,0,6,NA,0.916221736,12,0
2004,AHND,2,295,249,32,852,0.93643251,34,0.970588235
2004,AQUE,1,484,1201,80,12458,0.796894456,41,1.390243902
2004,AQUE,2,517,1194,78,12741,0.796894456,32,0.8125
2004,AQUE,3,610,1040,37,16648,0.848446234,21,0.523809524
2004,AQUE,4,131,537,77,24507,0.829439813,35,1.542857143
2004,AQUE,5,509,807,80,36625,0.829439813,31,0.806451613
2004,AQUE,6,539,1011,80,27131,0.811640306,22,0.909090909
2004,BULL,1,35,645,60,0,1.108814737,30,0.466666667
2004,BULL,3,2,250,79,757,1.108814737,28,0.571428571
2004,BULL,6,26,731,58,1226,1.108814737,24,0.25
2004,CARP,1,483,1003,80,0,0.879677384,40,1.475
2004,CARP,2,398,4,80,0,0.879677384,23,0.956521739
2004,CARP,3,779,232,79,2818.5,0.879677384,28,1.285714286
2004,CARP,4,200,0,80,2431.5,0.879677384,36,1.472222222
2004,CARP,5,0,0,80,0,0.775573552,21,0.952380952
2004,CARP,6,102,99,80,5489,0.879677384,31,0.903225806
2004,CARP,7,529,48,80,4728.5,0.879677384,32,1.75
2004,CARP,8,2,0,80,0,0.775573552,23,1.434782609
2004,GOLB,1,130,733,75,0,0.714259878,20,1.1
2004,GOLB,2,94,1080,62,0,0.714259878,28,0.714285714
2004,IVEE,1,67,89,80,6757.5,0.864061809,14,0.285714286
2004,IVEE,2,310,218,80,8068,0.864061809,28,0.75
2004,MOHK,1,996,810,80,0,NA,51,0.921568627
2004,MOHK,2,384,1554,80,0,NA,38,1.184210526
2004,NAPL,1,692,714,80,6031,1.106660699,42,1.19047619
2004,NAPL,2,733,1050,80,9288,1.000060753,34,0.852941176
2004,NAPL,3,445,364,80,13061.5,1.000060753,33,1.212121212
2004,NAPL,4,160,400,64,12324.5,1.000060753,30,1.466666667
2004,NAPL,5,131,950,80,8527,1.000060753,38,0.789473684
2004,NAPL,6,253,269,80,7369,1.000060753,34,1.352941176
2004,NAPL,7,744,549,79,8226.5,1.000060753,39,1.051282051
2004,NAPL,8,296,269,80,7832.5,1.000060753,43,1.372093023
2005,ABUR,1,282,68,37,0,1.068872285,41,0.853658537
2005,ABUR,2,37,0,28,0,NA,22,0.090909091
2005,AHND,1,2,0,0,NA,1.077339565,7,0.428571429
2005,AHND,2,552,295,51,713,1.072134405,35,1.085714286
2005,AQUE,1,486,484,77,20160.5,1.060133947,38,1.289473684
2005,AQUE,2,315,517,65,15714.5,1.060133947,39,1.205128205
2005,AQUE,3,77,610,8,14985.5,1.137988103,14,0.857142857
2005,AQUE,4,228,131,74,19500.5,1.095382919,43,0.604651163
2005,AQUE,5,370,509,77,26068.5,1.095382919,29,0.965517241
2005,AQUE,6,193,539,40,22076,1.093549332,19,0.842105263
2005,BULL,1,408,35,71,13504,1.45783847,43,0.790697674
2005,BULL,3,140,2,73,18757,1.45783847,35,0.628571429
2005,BULL,6,451,26,75,22383.5,1.45783847,27,0.333333333
2005,CARP,1,2607,483,80,1192,0.921318917,37,1.297297297
2005,CARP,2,810,398,80,0,0.921318917,29,1.310344828
2005,CARP,3,313,779,80,8047.5,0.921318917,37,1.405405405
2005,CARP,4,90,200,80,4312,0.921318917,39,1.461538462
2005,CARP,5,54,0,80,3037,0.843241043,31,1.580645161
2005,CARP,6,143,102,80,14446,0.921318917,36,0.972222222
2005,CARP,7,977,529,80,8418,0.921318917,35,1.428571429
2005,CARP,8,1005,2,80,4447.5,0.843241043,41,1.43902439
2005,GOLB,1,49,130,6,0,0.968898313,16,0.4375
2005,GOLB,2,192,94,32,0,0.968898313,19,0.789473684
2005,IVEE,1,27,67,15,13686.5,1.107136581,18,0.5
2005,IVEE,2,882,310,74,12683,1.107136581,31,0.838709677
2005,MOHK,1,40,996,80,9621,NA,60,1.3
2005,MOHK,2,376,384,79,9917,NA,52,1.384615385
2005,NAPL,1,964,692,80,1231.5,1.371179598,55,1.509090909
2005,NAPL,2,595,733,80,1806.5,1.242228146,54,1.222222222
2005,NAPL,3,207,445,80,1867.5,1.242228146,39,0.923076923
2005,NAPL,4,277,160,80,1867.5,1.242228146,23,0.782608696
2005,NAPL,5,416,131,80,1545,1.242228146,47,0.382978723
2005,NAPL,6,306,253,80,1193.5,1.242228146,47,0.723404255
2005,NAPL,7,678,744,80,1619,1.242228146,51,1.490196078
2005,NAPL,8,343,296,80,1545,1.242228146,54,1.592592593
2006,ABUR,1,13,282,0,0,1.028220644,24,0.541666667
2006,ABUR,2,2,37,28,0,1.023215305,27,0.037037037
2006,AHND,1,0,2,0,NA,1.059226007,1,0
2006,AHND,2,384,552,38,0,1.081883248,35,0.657142857
2006,AQUE,1,605,486,80,16703,1.081450245,48,0.833333333
2006,AQUE,2,982,315,70,14883,1.081450245,39,1
2006,AQUE,3,372,77,32,15771,1.138982736,27,0.555555556
2006,AQUE,4,382,228,44,12439,1.112315676,43,1.162790698
2006,AQUE,5,154,370,56,15415,1.112315676,37,0.675675676
2006,AQUE,6,129,193,80,23974,1.104540489,22,0.909090909
2006,BULL,1,455,408,80,NA,1.301786109,42,0.30952381
2006,BULL,3,157,140,80,NA,1.301786109,33,0.606060606
2006,BULL,6,125,451,75,NA,1.301786109,31,0.35483871
2006,CARP,1,2186,2607,80,1080,0.888225467,36,1.25
2006,CARP,2,1064,810,80,3533,0.888225467,24,0.75
2006,CARP,3,2,313,80,320,0.888225467,34,1.205882353
2006,CARP,4,10,90,80,1881,0.888225467,34,1.558823529
2006,CARP,5,2,54,80,2432,0.836070689,23,1.130434783
2006,CARP,6,0,143,80,0,0.888225467,32,1.3125
2006,CARP,7,2,977,80,647,0.888225467,38,1.5
2006,CARP,8,602,1005,80,1973,0.836070689,33,1.454545455
2006,GOLB,1,134,49,45,0,1.238835606,27,1.074074074
2006,GOLB,2,224,192,47,0,1.238835606,31,0.580645161
2006,IVEE,1,279,27,41,7302,1.603199019,27,0.481481481
2006,IVEE,2,408,882,76,6603,1.603199019,35,0.457142857
2006,MOHK,1,498,40,80,0,1.110297458,59,2.372881356
2006,MOHK,2,413,376,80,0,1.110297458,44,1.272727273
2006,NAPL,1,451,964,80,0,1.727337061,47,1.212765957
2006,NAPL,2,868,595,80,0,1.621860184,48,0.875
2006,NAPL,3,67,207,80,0,1.621860184,46,1.608695652
2006,NAPL,4,0,277,80,0,1.621860184,30,0.833333333
2006,NAPL,5,24,416,80,0,1.621860184,52,1.615384615
2006,NAPL,6,20,306,80,0,1.621860184,47,1.085106383
2006,NAPL,7,162,678,80,0,1.621860184,45,1.222222222
2006,NAPL,8,13,343,80,0,1.621860184,43,1.139534884
2007,ABUR,1,98,13,35,0,0.873433207,32,0.90625
2007,ABUR,2,0,2,20,0,0.873672806,27,0.333333333
2007,AHND,1,0,0,0,NA,0.664931789,7,0.714285714
2007,AHND,2,992,384,39,5548,0.686040735,42,0.714285714
2007,AQUE,1,817,605,73,38160,0.73320998,39,0.948717949
2007,AQUE,2,388,982,70,28461,0.73320998,37,1.081081081
2007,AQUE,3,845,372,18,23675,0.793195269,26,0.423076923
2007,AQUE,4,312,382,51,34924.5,0.767752732,48,0.75
2007,AQUE,5,212,154,78,43594.5,0.767752732,27,0.518518519
2007,AQUE,6,41,129,47,38035,0.759922044,28,0.5
2007,BULL,1,510,455,75,14082.5,0.888790459,40,1.2
2007,BULL,3,254,157,78,21193,0.888790459,37,1.081081081
2007,BULL,6,549,125,73,27065.5,0.888790459,22,0.954545455
2007,CARP,1,2704,2186,80,12746.5,0.903040814,42,1.357142857
2007,CARP,2,750,1064,80,15848,0.903040814,31,1.064516129
2007,CARP,3,0,2,80,16193,0.903040814,34,1.264705882
2007,CARP,4,4,10,80,12517,0.903040814,32,1.1875
2007,CARP,5,471,2,80,18050,0.847044487,37,1.891891892
2007,CARP,6,2,0,80,14051,0.903040814,31,1.419354839
2007,CARP,7,558,2,80,13217,0.903040814,39,1.256410256
2007,CARP,8,812,602,80,15088.5,0.847044487,47,1.638297872
2007,GOLB,1,759,134,39,7301,0.592270791,28,0.5
2007,GOLB,2,962,224,48,9752.5,0.592270791,30,0.733333333
2007,IVEE,1,582,279,32,34406,0.88004998,22,0.681818182
2007,IVEE,2,690,408,71,27568.5,0.88004998,22,0.681818182
2007,MOHK,1,520,498,80,22561.5,0.962953239,57,1.789473684
2007,MOHK,2,1242,413,78,23777.5,0.950198891,44,1.136363636
2007,NAPL,1,781,451,80,828.5,1.06070539,49,1.489795918
2007,NAPL,2,591,868,80,1656.5,0.981877539,53,1.264150943
2007,NAPL,3,16,67,80,2115,0.981877539,40,1.125
2007,NAPL,4,0,0,80,2115,0.981877539,30,1
2007,NAPL,5,275,24,80,1850,0.981877539,53,1.735849057
2007,NAPL,6,144,20,80,1554.5,0.981877539,45,1.355555556
2007,NAPL,7,296,162,80,2115,0.981877539,47,1.170212766
2007,NAPL,8,133,13,80,2036.5,0.981877539,55,1.327272727
2008,ABUR,1,496,98,15,0,1.668915694,35,0.714285714
2008,ABUR,2,49,0,14,0,1.777580917,26,0.230769231
2008,AHND,1,0,0,0,NA,1.165673423,7,0
2008,AHND,2,377,992,60,0,1.2016193,48,0.958333333
2008,AQUE,1,558,817,80,9375,1.360175297,53,1.301886792
2008,AQUE,2,429,388,71,7387,1.360175297,42,1.214285714
2008,AQUE,3,178,845,33,4321,1.510430028,36,1.583333333
2008,AQUE,4,288,312,44,8340,1.452978238,41,0.804878049
2008,AQUE,5,225,212,75,12219.5,1.452978238,40,1.025
2008,AQUE,6,381,41,72,11550,1.401889183,28,0.607142857
2008,BULL,1,233,510,37,0,1.870056225,40,0.9
2008,BULL,3,296,254,69,0,1.870056225,36,0.361111111
2008,BULL,6,173,549,80,0,1.870056225,25,0.88
2008,CARP,1,2235,2704,80,494.5,2.311095782,40,1.5
2008,CARP,2,1623,750,80,8902,2.311095782,22,0.818181818
2008,CARP,3,322,0,80,95,2.311095782,33,1.424242424
2008,CARP,4,1436,4,80,988.5,2.311095782,32,1.34375
2008,CARP,5,2044,471,80,6302.5,2.116657046,33,1.818181818
2008,CARP,6,0,2,80,0,2.311095782,29,1.24137931
2008,CARP,7,0,558,77,82.5,2.311095782,37,1.540540541
2008,CARP,8,1127,812,80,2028,2.116657046,37,1.648648649
2008,GOLB,1,169,759,50,0,1.607943598,38,0.736842105
2008,GOLB,2,311,962,57,0,1.607943598,32,0.65625
2008,IVEE,1,303,582,70,7118.5,2.101244495,40,0.675
2008,IVEE,2,445,690,80,6963,2.101244495,32,0.875
2008,MOHK,1,831,520,75,963,1.864918708,58,1.913793103
2008,MOHK,2,587,1242,80,1035,1.726205746,45,1.111111111
2008,NAPL,1,320,781,80,0,2.253185299,47,1.617021277
2008,NAPL,2,296,591,80,0,2.096642068,46,1.347826087
2008,NAPL,3,0,16,80,0,2.096642068,24,1
2008,NAPL,4,2,0,80,0,2.096642068,25,0.8
2008,NAPL,5,32,275,80,0,2.096642068,55,1.418181818
2008,NAPL,6,79,144,80,0,2.096642068,55,1.836363636
2008,NAPL,7,148,296,80,0,2.096642068,53,1.58490566
2008,NAPL,8,77,133,80,0,2.096642068,54,1.537037037
2009,ABUR,1,38,496,0,0,0.940336845,25,1.2
2009,ABUR,2,0,49,21,0,0.934394441,21,0.142857143
2009,AHND,1,0,0,0,NA,0.841556083,8,0.625
2009,AHND,2,249,377,59,582,0.860682358,41,1.146341463
2009,AQUE,1,325,558,80,30691,0.803833714,58,1.603448276
2009,AQUE,2,368,429,67,24990,0.803833714,43,1.348837209
2009,AQUE,3,225,178,28,20645,0.859211712,37,0.864864865
2009,AQUE,4,255,288,53,23115,0.820205295,53,1.301886792
2009,AQUE,5,301,225,80,32732,0.820205295,43,1.139534884
2009,AQUE,6,329,381,67,35479,0.822375822,44,1.022727273
2009,BULL,1,633,233,80,NA,1.020347803,42,1.047619048
2009,BULL,3,366,296,80,NA,1.020347803,44,0.795454545
2009,BULL,6,396,173,80,NA,1.020347803,30,1.033333333
2009,CARP,1,119,2235,80,27636,0.915706552,46,1.47826087
2009,CARP,3,754,322,80,33280,0.915706552,37,1.621621622
2009,CARP,4,235,1436,80,22887,0.915706552,41,1.341463415
2009,CARP,6,0,0,80,31367,0.915706552,25,0.96
2009,CARP,7,244,0,80,26892,0.915706552,50,1.7
2009,GOLB,1,823,169,50,19967,0.70686921,32,0.875
2009,GOLB,2,439,311,52,21679,0.70686921,41,1.024390244
2009,IVEE,1,443,303,79,33956,0.934394441,33,1.181818182
2009,IVEE,2,493,445,74,32062,0.934394441,24,0.916666667
2009,MOHK,1,467,831,78,21188,1.046521774,58,1.913793103
2009,MOHK,2,1014,587,80,24659,0.938429813,38,1.026315789
2009,NAPL,1,220,320,80,0,1.074602098,57,1.666666667
2009,NAPL,2,18,296,80,0,1.005728668,38,1.236842105
2009,NAPL,3,9,0,80,0,1.005728668,36,1.305555556
2009,NAPL,4,36,2,80,0,1.005728668,22,0.5
2009,NAPL,5,23,32,80,0,1.005728668,59,1.220338983
2009,NAPL,6,24,79,80,0,1.005728668,52,1.5
2009,NAPL,7,55,148,80,0,1.005728668,50,1.16
2009,NAPL,8,23,77,80,0,1.005728668,51,1.509803922
